pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
HD 105618 c,Radial Velocity,77114.07158,,,11.9,8.42E+03,,"<div><span class=supersubNumber"">0.17966609</span><span class=""superscript"">+0.01003508</span><span class=""subscript"">-0.01104786</span></div>""",1.01
HD 28192 b,Radial Velocity,14.23283,,,12.2,,,"<div><span class=supersubNumber"">0.10347257</span><span class=""superscript"">+0.01252893</span><span class=""subscript"">-0.01291919</span></div>""",1.08
HD 43197 c,Radial Velocity,9295.9735,,G8 V,12.6,2.50E+03,72.512,-0.137,0.96
HD 74156 c,Radial Velocity,2448.48726,,G0,12.5,2.75E+03,3.84,"<div><span class=supersubNumber"">0.40075431</span><span class=""superscript"">+0.01245267</span><span class=""subscript"">-0.01470144</span></div>""",1.1
HD 74156 b,Radial Velocity,51.63564,,G0,13.5,,3.84,"<div><span class=supersubNumber"">0.40075431</span><span class=""superscript"">+0.01245267</span><span class=""subscript"">-0.01470144</span></div>""",1.1
HD 7449 b,Radial Velocity,1270.55195,,F9.5 V,12.6,2.60E+03,-19.84879,"<div><span class=supersubNumber"">0.10138478</span><span class=""superscript"">+0.01350667</span><span class=""subscript"">-0.01309156</span></div>""",1.196
HD 110537 b,Radial Velocity,24469.67342,,G6/8 V,11.9,8.61E+03,35,"<div><span class=supersubNumber"">0.11725969</span><span class=""superscript"">+0.01031548</span><span class=""subscript"">-0.01103870</span></div>""",1.02
HD 56957 b,Radial Velocity,5859.08992,,,12.8,1.88E+03,,"<div><span class=supersubNumber"">0.49108029</span><span class=""superscript"">+0.01115626</span><span class=""subscript"">-0.01145973</span></div>""",1.03
HD 86264 b,Radial Velocity,1488.79123,,F7 V,12.5,3.12E+03,7.65867,0.66&plusmn;0.1,1.26
HD 111232 c,Radial Velocity,26472.44623,,G8 V,12.2,5.74E+03,104.4,-0.161,0.96
HD 62549 b,Radial Velocity,14306.88519,,,12.6,2.71E+03,,"<div><span class=supersubNumber"">0.22846298</span><span class=""superscript"">+0.01630717</span><span class=""subscript"">-0.00923143</span></div>""",1.08
HD 142 c,Radial Velocity,10159.64279,,F7V,12.4,3.46E+03,5.44453,"<div><span class=supersubNumber"">0.47418231</span><span class=""superscript"">+0.00100711</span><span class=""subscript"">-0.00100944</span></div>""",1.21
HD 11343 c,Radial Velocity,228.53731,,K2 III/IV,13.9,,6.60975,1.31&plusmn;0.01,2.009
HD 73267 c,Radial Velocity,17071.78045,,K0 V,12.8,1.63E+03,51.915,"<div><span class=supersubNumber"">-0.106</span> <span class=""superscript"">+0.047</span><span class=""subscript"">-0.053</span> </div>""",0.93
14 Her b,Radial Velocity,1765.0389,,K0V,12.6,2.56E+03,-13.8226,"<div><span class=supersubNumber"">-0.1527280</span><span class=""superscript"">+0.0116348</span><span class=""subscript"">-0.0098003</span></div>""",0.91
HD 219077 b,Radial Velocity,5478.68861,,G8 V+,12.5,3.06E+03,-30.8691,0.425,0.92
HD 113337 b,Radial Velocity,317.58639,,F6 V,13.1,,-15.69824,"<div><span class=supersubNumber"">0.632</span><span class=""superscript"">+0.025</span><span class=""subscript"">-0.026</span></div>""",1.41
HD 125271 b,Radial Velocity,14901.99295,,,12.4,3.47E+03,,"<div><span class=supersubNumber"">-0.6037616</span><span class=""superscript"">+0.0167854</span><span class=""subscript"">-0.0151627</span></div>""",0.75
HD 127506 b,Radial Velocity,65.78395,,K3V,5.67,,-19.2,"<div><span class=supersubNumber"">-0.6625625</span><span class=""superscript"">+0.0281671</span><span class=""subscript"">-0.0168710</span></div>""",0.73
HD 81817 c,Radial Velocity,622.97802,,K3 III,12,,,3.2608,4.3
bet Pic b,Imaging,8617.50952,1612,A5V,18.49485,3.73E+03,,0.9528191,1.795
HD 145934 b,Radial Velocity,2751.53433,,K0,13.4,6.59E+02,-28.20392,"<div><span class=supersubNumber"">1.3545504</span><span class=""superscript"">+0.0063729</span><span class=""subscript"">-0.0064678</span></div>""",2.058
HIP 97233 b,Radial Velocity,1062.26506,,K0/1 III,12.1,6.10E+03,-63.46491,"<div><span class=supersubNumber"">1.204</span> <span class=""superscript"">+0.132</span><span class=""subscript"">-0.191</span> </div>""",1.81
HD 215497 b,Radial Velocity,3.93404,,K3 V,,1.59E+03,49.3107,-0.41,0.67
HD 93351 b,Radial Velocity,2.45946,,,1.69,,,"<div><span class=supersubNumber"">-0.193707</span><span class=""superscript"">+0.011385</span><span class=""subscript"">-0.008180</span></div>""",0.94
HD 88072 b,Radial Velocity,18538.79293,,,12.6,2.51E+03,,"<div><span class=supersubNumber"">0.031366043</span><span class=""superscript"">+0.007523672</span><span class=""subscript"">-0.016690127</span></div>""",1.04
HD 93351 c,Radial Velocity,14010.2941,,,12.3,4.15E+03,,"<div><span class=supersubNumber"">-0.193707</span><span class=""superscript"">+0.011385</span><span class=""subscript"">-0.008180</span></div>""",0.94
HD 10697 b,Radial Velocity,1075.3799,,G3 V,12.8,1.83E+03,-46.6,"<div><span class=supersubNumber"">0.47664979</span><span class=""superscript"">+0.01103607</span><span class=""subscript"">-0.00846473</span></div>""",0.99
KMT-2021-BLG-2294L b,Microlensing,,,,5.02,2.22E+01,,,0.14
MOA-2007-BLG-400L b,Microlensing,,34,,13.5,5.40E+02,,,0.69
KMT-2021-BLG-1077L b,Microlensing,,,M V,9.86,6.99E+01,,,0.14
HD 10180 e,Radial Velocity,49.748,,G1 V,5.39,,35.52981,"<div><span class=supersubNumber"">0.173</span><span class=""superscript"">+0.006</span><span class=""subscript"">-0.006</span></div>""",1.06
Wolf 1069 b,Radial Velocity,15.564,250.1,M5.0 V,1.08,,-60.047,"<div><span class=supersubNumber"">-2.531</span><span class=""superscript"">+0.004</span><span class=""subscript"">-0.004</span></div>""",0.167
OGLE-2017-BLG-1691L b,Microlensing,,,,3.92,1.46E+01,,,0.45
KMT-2021-BLG-0320L b,Microlensing,,,,6.2,3.18E+01,,,0.32
Kepler-138 b,Transit,10.3134,452,M1 V,0.64,7.00E-02,-36.32988,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.535
MOA-2020-BLG-135L b,Microlensing,,,,3.37,1.13E+01,,,0.23
Kepler-138 d,Transit,23.0923,345,M1 V,1.51,2.10E+00,-36.32988,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.535
Kepler-138 c,Transit,13.7815,410,M1 V,1.51,2.30E+00,-36.32988,"<div><span class=supersubNumber"">-1.3</span><span class=""superscript"">+0.0</span><span class=""subscript"">-0.0</span></div>""",0.535
OGLE-2006-BLG-284L A b,Microlensing,,,,14.3,1.44E+02,,,0.35
KMT-2018-BLG-2602L b,Microlensing,,,,13.7,3.66E+02,,,0.66
K2-413 c,Transit,5.3301,,,1.2327,,,-0.8332198,0.808
K2-414 c,Transit,6.669,,,1.9287,,,-0.7053832,0.814
OGLE-2018-BLG-1119L b,Microlensing,,,,13.9,2.89E+02,,,0.48
HAT-P-21 b,Transit,4.12448,1367,G3,12.44199,1.55E+03,-53.018,"<div><span class=supersubNumber"">0.182</span><span class=""superscript"">+0.030</span><span class=""subscript"">-0.030</span></div>""",1.24
MOA-2019-BLG-008L b,Microlensing,,,,12.2,5.72E+03,,,0.9
K2-3 b,Transit,10.0546535,501.3,M V,2.078,5.11E+00,30.48024,"<div><span class=supersubNumber"">-1.23</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.549
HIP 21152 b,Imaging,22000,1300,F5 V,12,7.63E+03,40.6,"<div><span class=supersubNumber"">0.6356535</span><span class=""superscript"">+0.0168785</span><span class=""subscript"">-0.0187667</span></div>""",1.4
K2-38 c,Transit,10.56103,916,G2 V,2.29,8.30E+00,-35.33349,"<div><span class=supersubNumber"">0.0374</span><span class=""superscript"">+0.0560</span><span class=""subscript"">-0.0643</span></div>""",1.03
K2-38 b,Transit,4.01593,1266,G2 V,1.54,7.30E+00,-35.33349,"<div><span class=supersubNumber"">0.0374</span><span class=""superscript"">+0.0560</span><span class=""subscript"">-0.0643</span></div>""",1.03
KMT-2021-BLG-0909L b,Microlensing,,,,13.7,4.00E+02,,,0.38
KMT-2021-BLG-2478L b,Microlensing,,,,13.9,2.86E+02,,,0.2
55 Cnc c,Radial Velocity,44.3936,,G8 V,8.51,5.45E+01,27.40949,"<div><span class=supersubNumber"">-0.1969510</span><span class=""superscript"">+0.0124975</span><span class=""subscript"">-0.0103906</span></div>""",1.015
KMT-2019-BLG-0414L b,Microlensing,,,,12.9,1.45E+03,,,0.74
KMT-2017-BLG-1194L b,Microlensing,,,,1.7,3.54E+00,,,0.41
WASP-88 b,Transit,4.954,1772,F6,16.36514,1.33E+02,-5.14679,"<div><span class=supersubNumber"">0.72350562</span><span class=""superscript"">+0.01126913</span><span class=""subscript"">-0.01156935</span></div>""",0.94
HATS-8 b,Transit,3.583893,1324,,9.785457,4.39E+01,19.958,"<div><span class=supersubNumber"">-0.02519817</span><span class=""superscript"">+0.02483090</span><span class=""subscript"">-0.02633713</span></div>""",1.056
GJ 1002 c,Radial Velocity,21.202,181.7,M5.5 V,1.1,,,"<div><span class=supersubNumber"">-2.852</span><span class=""superscript"">+0.006</span><span class=""subscript"">-0.006</span></div>""",0.12
KMT-2017-BLG-1003L b,Microlensing,,,,2.13,5.19E+00,,,0.32
KMT-2019-BLG-1552L b,Microlensing,,,,13,1.29E+03,,,0.79
HD 45364 b,Radial Velocity,225.79,,K0 V,9.03,,16.30644,"<div><span class=supersubNumber"">-0.196</span><span class=""superscript"">+0.001</span><span class=""subscript"">-0.001</span></div>""",0.82
L 363-38 b,Radial Velocity,8.781,330,,2,,,-1.9,0.21
WASP-56 b,Transit,4.6171,1216,G6,10.53646,1.43E+02,4.6816,"<div><span class=supersubNumber"">0.10255653</span><span class=""superscript"">+0.00972313</span><span class=""subscript"">-0.00994577</span></div>""",0.71
KMT-2019-BLG-2974L b,Microlensing,,,,11.4,8.90E+01,,,0.47
TIC 279401253 b,Transit,76.8,,,11.2089807,1.95E+03,,"<div><span class=supersubNumber"">0.0969</span><span class=""superscript"">+0.0170</span><span class=""subscript"">-0.0141</span></div>""",1.13
HD 45364 c,Radial Velocity,345.43,,K0 V,14.2,,16.30644,"<div><span class=supersubNumber"">-0.196</span><span class=""superscript"">+0.001</span><span class=""subscript"">-0.001</span></div>""",0.82
HD 167768 b,Radial Velocity,20.6532,,G8 III,13.9,,,"<div><span class=supersubNumber"">1.67</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",1.08
KMT-2019-BLG-0253L b,Microlensing,,,,2.99,9.20E+00,,,0.7
OGLE-2018-BLG-0506L b,Microlensing,,,,4.18,1.63E+01,,,0.63
TIC 279401253 c,Transit,155.3,,,12.6,,,"<div><span class=supersubNumber"">0.0969</span><span class=""superscript"">+0.0170</span><span class=""subscript"">-0.0141</span></div>""",1.13
HD 184010 d,Radial Velocity,836.4,,K0 III-IV,14.3,,,"<div><span class=supersubNumber"">1.117</span><span class=""superscript"">+0.094</span><span class=""subscript"">-0.098</span></div>""",1.35
HD 184010 b,Radial Velocity,286.6,,K0 III-IV,12.1,,,"<div><span class=supersubNumber"">1.117</span><span class=""superscript"">+0.094</span><span class=""subscript"">-0.098</span></div>""",1.35
NGTS-23 b,Transit,4.0764326,1327,F9 V,14.20177855,1.95E+02,,"<div><span class=supersubNumber"">0.2833</span><span class=""superscript"">+0.0205</span><span class=""subscript"">-0.0247</span></div>""",1.01
OGLE-2018-BLG-0977L b,Microlensing,,,,2.41,6.40E+00,,,0.47
HAT-P-26 b,Transit,4.23452,1080,K1,7.06167,2.22E+01,14.72,"<div><span class=supersubNumber"">-0.3592787</span><span class=""superscript"">+0.0163587</span><span class=""subscript"">-0.0115250</span></div>""",1.12
Kepler-1643 b,Transit,5.342657,799,,2.32,,,-0.4715563,0.845
KOI-7913 b,Transit,24.278553,432,K6 V,2.34,,-17.8,-0.7679212,0.76
KMT-2021-BLG-1391L b,Microlensing,,,,1.97,4.55E+00,,,0.37
KMT-2021-BLG-1253L b,Microlensing,,,,4.59,1.91E+01,,,0.24
KIC 3526061 b,Radial Velocity,3552,,,12.1,,,"<div><span class=supersubNumber"">1.21</span><span class=""superscript"">+0.04</span><span class=""subscript"">-0.04</span></div>""",1.42
WISE J033605.05-014350.4 b,Imaging,2560,325,,12.6,2.62E+03,,,0.0131
Kepler-107 e,Transit,14.749143,955,,2.903,1.41E+01,5.64423,"<div><span class=supersubNumber"">0.36449058</span><span class=""superscript"">+0.01522352</span><span class=""subscript"">-0.01853779</span></div>""",1.238
OGLE-2018-BLG-1367L b,Microlensing,,,,13.8,3.02E+02,,,0.28
HAT-P-28 b,Transit,3.257215,1384,G3,13.585,1.99E+02,43.884,"<div><span class=supersubNumber"">0.053</span> <span class=""superscript"">+0.080</span><span class=""subscript"">-0.066</span> </div>""",1.025
MOA-2022-BLG-249L b,Microlensing,,,,2.04,4.83E+00,,,0.18
DMPP-4 b,Radial Velocity,3.4982,,F5-F8 V,3.53,,0.6,"<div><span class=supersubNumber"">0.459</span><span class=""superscript"">+0.012</span><span class=""subscript"">-0.012</span></div>""",1.25
OGLE-2018-BLG-1212L b,Microlensing,,,,9.32,6.36E+01,,,0.16
K2-2016-BLG-0005L b,Microlensing,4700,,,13.7,3.50E+02,,,0.584
HN Lib b,Radial Velocity,36.116,234.4,M4.0 V,2.2,,-1.426,"<div><span class=supersubNumber"">-1.9954</span><span class=""superscript"">+0.0030</span><span class=""subscript"">-0.0030</span></div>""",0.291
Kepler-454 d,Radial Velocity,4073,,,13.3,,-70.2557,"<div><span class=supersubNumber"">0.052588914</span><span class=""superscript"">+0.013722696</span><span class=""subscript"">-0.016501747</span></div>""",1.03
Kepler-323 c,Transit,3.5538229,1431,,1.57,6.80E+00,,"<div><span class=supersubNumber"">0.15090742</span><span class=""superscript"">+0.01676019</span><span class=""subscript"">-0.02564316</span></div>""",1.015
HD 219134 b,Radial Velocity,3.092926,1015,K3 V,1.602,4.74E+00,-18.42,"<div><span class=supersubNumber"">-0.5774</span><span class=""superscript"">+0.0081</span><span class=""subscript"">-0.0083</span></div>""",0.81
KMT-2021-BLG-2010L b,Microlensing,,,,13.8,3.40E+02,,,0.37
Kepler-409 b,Transit,68.9583216,438,,1.199,6.00E+00,-28.25637,"<div><span class=supersubNumber"">-0.2020112</span><span class=""superscript"">+0.0083914</span><span class=""subscript"">-0.0095093</span></div>""",0.913
Kepler-20 f,Transit,19.578328,681,,0.952,1.40E+00,-20.9269,"<div><span class=supersubNumber"">-0.1645077</span><span class=""superscript"">+0.0124069</span><span class=""subscript"">-0.0144158</span></div>""",0.929
KMT-2019-BLG-1216L b,Microlensing,,,,5.98,2.99E+01,,,0.39
HD 74698 b,Radial Velocity,15.017,,G5 V,5.12,,,"<div><span class=supersubNumber"">0.253</span><span class=""superscript"">+0.005</span><span class=""subscript"">-0.005</span></div>""",1.039
HD 112300 b,Radial Velocity,466.63,,M1 III,12.2,,,2.7012,1.4
HD 36384 b,Radial Velocity,490,,M0 III,12.7,,,"<div><span class=supersubNumber"">2.5891</span><span class=""superscript"">+0.0002</span><span class=""subscript"">-0.0002</span></div>""",1.14
OGLE-2019-BLG-0249L b,Microlensing,,,,12.7,2.26E+03,,,0.91
HD 74698 c,Radial Velocity,3449,,G5 V,14,,,"<div><span class=supersubNumber"">0.253</span><span class=""superscript"">+0.005</span><span class=""subscript"">-0.005</span></div>""",1.039
HD 6860 b,Radial Velocity,663.87,,M0 III,11.9,,,3.22398,2.49
Kepler-1655 b,Transit,11.8728787,938,G0 V,2.213,5.40E+00,,"<div><span class=supersubNumber"">0.1431544</span><span class=""superscript"">+0.0163177</span><span class=""subscript"">-0.0169405</span></div>""",1.03
rho CrB b,Radial Velocity,39.8438,614,G0 V,13.7,,17.8,"<div><span class=supersubNumber"">0.260</span><span class=""superscript"">+0.019</span><span class=""subscript"">-0.020</span></div>""",0.95
VHS J125601.92-125723.9 b,Imaging,5800000,1194,M7.5,13.67495645,5.09E+03,-1.4,-3.14&plusmn;0.10,0.07
Kepler-323 b,Transit,1.678328,1838,,1.381,3.90E+00,,"<div><span class=supersubNumber"">0.15090742</span><span class=""superscript"">+0.01676019</span><span class=""subscript"">-0.02564316</span></div>""",1.015
Kepler-22 b,Transit,289.863876,279,G5 V,2.1,9.10E+00,-4.06127,"<div><span class=supersubNumber"">-0.1902365</span><span class=""superscript"">+0.0101297</span><span class=""subscript"">-0.0118339</span></div>""",0.857
Kepler-454 b,Transit,10.5737534,916,,2.37,5.40E+00,-70.2557,"<div><span class=supersubNumber"">0.052588914</span><span class=""superscript"">+0.013722696</span><span class=""subscript"">-0.016501747</span></div>""",1.03
Kepler-109 b,Transit,6.4816307,1276,,2.49,4.90E+00,,"<div><span class=supersubNumber"">0.34653780</span><span class=""superscript"">+0.01609670</span><span class=""subscript"">-0.02676280</span></div>""",1.094
Kepler-20 c,Transit,10.8540774,828,,2.894,1.11E+01,-20.9269,"<div><span class=supersubNumber"">-0.1645077</span><span class=""superscript"">+0.0124069</span><span class=""subscript"">-0.0144158</span></div>""",0.929
K2-36 c,Transit,5.340888,854,K2 V,3.2,7.90E+00,13.24695,-0.57&plusmn;0.01,0.79
K2-36 b,Transit,1.422614,1328,K2 V,1.43,4.30E+00,13.24695,-0.57&plusmn;0.01,0.79
Kepler-21 b,Transit,2.7858212,2015,F6 IV,1.639,7.50E+00,-19.1,"<div><span class=supersubNumber"">0.7150</span><span class=""superscript"">+0.0117</span><span class=""subscript"">-0.0108</span></div>""",1.408
HATS-3 b,Transit,3.547851,1648,F,15.48,3.40E+02,,"<div><span class=supersubNumber"">0.456</span> <span class=""superscript"">+0.031</span><span class=""subscript"">-0.033</span> </div>""",1.209
K2-417 b,Transit,6.535,558,M V,3.31,6.99E+02,,"<div><span class=supersubNumber"">-1.20</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.569
K2-18 c,Radial Velocity,8.962,363,M2.5 V,2.65,,0.6537,"<div><span class=supersubNumber"">-1.60</span><span class=""superscript"">+0.03</span><span class=""subscript"">-0.04</span></div>""",0.359
K2-253 b,Transit,4.00167,1238,,12.67,,,"<div><span class=supersubNumber"">-0.077382979</span><span class=""superscript"">+0.031590328</span><span class=""subscript"">-0.034069718</span></div>""",1.08
Kepler-491 b,Transit,4.225384512,1111,,8.92,,,-0.05683296,1.04
HATS-36 b,Transit,4.175186,1203,G0 V,12.92,1.02E+03,-24.392,"<div><span class=supersubNumber"">0.215</span><span class=""superscript"">+0.043</span><span class=""subscript"">-0.048</span></div>""",1.1
K2-216 b,Transit,2.1748,1103,K5 V,1.75,8.00E+00,-26.16251,"<div><span class=supersubNumber"">-0.72</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",0.7
HIP 81208 C b,Imaging,104100,2050,M,12.3,4.70E+03,,,0.135
Kepler-471 b,Transit,5.014234575,1308,,14.96,,,0.710174,1.49
gam Lib c,Radial Velocity,966.49,,K0 III,12.8,,,"<div><span class=supersubNumber"">1.897</span><span class=""superscript"">+0.022</span><span class=""subscript"">-0.025</span></div>""",1.78
Kepler-93 c,Radial Velocity,1460,,,,9.54E+02,27.62941,"<div><span class=supersubNumber"">-0.1056546</span><span class=""superscript"">+0.0097266</span><span class=""subscript"">-0.0126993</span></div>""",0.91
Kepler-289 d,Transit,66.0282,,,3.03,5.33E+00,,"<div><span class=supersubNumber"">0.061</span> <span class=""superscript"">+0.022</span><span class=""subscript"">-0.023</span> </div>""",1.08
KELT-8 b,Transit,3.24406,1675,G2 V,18.15858,2.10E+02,-31.2,"<div><span class=supersubNumber"">0.26483198</span><span class=""superscript"">+0.01591388</span><span class=""subscript"">-0.02261618</span></div>""",0.81
WASP-174 b,Transit,4.2337005,1528,F6 V,16.10730527,1.05E+02,5.9179,"<div><span class=supersubNumber"">0.436</span><span class=""superscript"">+0.025</span><span class=""subscript"">-0.026</span></div>""",1.24
Kepler-139 e,Radial Velocity,2047.635373,,,13.7,3.78E+02,,"<div><span class=supersubNumber"">0.015982245</span><span class=""superscript"">+0.011281107</span><span class=""subscript"">-0.017711308</span></div>""",1.078
HD 134606 b,Radial Velocity,12.089,,G5IV,2.97,,2.3,"<div><span class=supersubNumber"">0.06483</span><span class=""superscript"">+0.02578</span><span class=""subscript"">-0.01873</span></div>""",1.046
HIP 66074 b,Astrometry,310.9,,,12.9,1.59E+03,,"<div><span class=supersubNumber"">-0.818</span><span class=""superscript"">+0.017</span><span class=""subscript"">-0.017</span></div>""",0.705
HD 134606 c,Radial Velocity,58.883,,G5IV,3.37,,2.3,"<div><span class=supersubNumber"">0.06483</span><span class=""superscript"">+0.02578</span><span class=""subscript"">-0.01873</span></div>""",1.046
HD 134606 d,Radial Velocity,966.5,,G5IV,7.59,,2.3,"<div><span class=supersubNumber"">0.06483</span><span class=""superscript"">+0.02578</span><span class=""subscript"">-0.01873</span></div>""",1.046
KMT-2021-BLG-1150L b,Microlensing,,,,13.9,2.80E+02,,,0.73
Luhman 16 b,Imaging,9697,,,11.9,9.34E+03,,-4.66&plusmn;0.08,0.0338
HD 99492 c,Radial Velocity,95.233,,K2 V,4.42,,3.1,"<div><span class=supersubNumber"">-0.4748958</span><span class=""superscript"">+0.0151123</span><span class=""subscript"">-0.0102880</span></div>""",0.85
Kepler-1513 c,Transit Timing Variations,841.4,,G V,11,8.45E+01,,"<div><span class=supersubNumber"">-0.129</span><span class=""superscript"">+0.079</span><span class=""subscript"">-0.063</span></div>""",0.943
HD 134606 e,Radial Velocity,4.3203,,G5IV,1.33,,2.3,"<div><span class=supersubNumber"">0.06483</span><span class=""superscript"">+0.02578</span><span class=""subscript"">-0.01873</span></div>""",1.046
Kepler-849 b,Transit,394.62508,362.7,,8.08167508,2.99E+02,-28.53984,"<div><span class=supersubNumber"">0.573</span><span class=""superscript"">+0.028</span><span class=""subscript"">-0.029</span></div>""",1.259
18 Del b,Radial Velocity,982.85,,G6 III,12.5,,4.3454,"<div><span class=supersubNumber"">1.634</span><span class=""superscript"">+0.061</span><span class=""subscript"">-0.043</span></div>""",2.1
6 Lyn b,Radial Velocity,919.86,,K0 IV,13.4,,39.69716,"<div><span class=supersubNumber"">1.119</span><span class=""superscript"">+0.095</span><span class=""subscript"">-0.098</span></div>""",1.32
GJ 724 b,Radial Velocity,5.101284,611,M1.0 V,3.27,,-33.36,"<div><span class=supersubNumber"">-1.291</span><span class=""superscript"">+0.003</span><span class=""subscript"">-0.003</span></div>""",0.5271
KMT-2018-BLG-0885L b,Microlensing,,,,11.9,9.22E+03,,,0.29
81 Cet b,Radial Velocity,1005.57,,G5 III,13.1,,9.25447,"<div><span class=supersubNumber"">1.760</span><span class=""superscript"">+0.059</span><span class=""subscript"">-0.041</span></div>""",1.23
HD 104985 b,Radial Velocity,199.68,,G9 III,12.8,,-20.19671,"<div><span class=supersubNumber"">1.770</span><span class=""superscript"">+0.079</span><span class=""subscript"">-0.092</span></div>""",1.22
GJ 3988 b,Radial Velocity,6.9442,348,M4.5 V,1.74,,37.17,"<div><span class=supersubNumber"">-2.395</span><span class=""superscript"">+0.002</span><span class=""subscript"">-0.002</span></div>""",0.1842
KMT-2019-BLG-0335L b,Microlensing,,,,12.1,6.67E+03,,,0.32
M62H b,Pulsar Timing,0.132935028,,,,7.85E+02,,,1.4
HD 145457 b,Radial Velocity,176.13,,K0,13.2,,-3.1494,"<div><span class=supersubNumber"">1.66</span><span class=""superscript"">+0.07</span><span class=""subscript"">-0.09</span></div>""",1.9
HD 167042 b,Radial Velocity,417.67,,K1 IV,13.6,,-18.15497,"<div><span class=supersubNumber"">1.057</span><span class=""superscript"">+0.080</span><span class=""subscript"">-0.083</span></div>""",1.39
CI Tau c,Radial Velocity,25.2,,K7,13,,18,"<div><span class=supersubNumber"">-0.2545763</span><span class=""superscript"">+0.0065212</span><span class=""subscript"">-0.0066206</span></div>""",0.9
Kepler-257 b,Transit,2.382667,1237,,2.61,,,-0.3775604,0.916
HD 81688 b,Radial Velocity,183.93,,K0 III-IV,13.5,,38.56968,"<div><span class=supersubNumber"">1.780</span><span class=""superscript"">+0.095</span><span class=""subscript"">-0.057</span></div>""",1.07
WASP-82 b,Transit,2.70579,2190,F5,18.15858,3.72E+02,-23.62828,"<div><span class=supersubNumber"">0.7942190</span><span class=""superscript"">+0.0070409</span><span class=""subscript"">-0.0071569</span></div>""",1.48
KMT-2022-BLG-0371L b,Microlensing,,,,10.9,8.26E+01,,,0.63
kap CrB b,Radial Velocity,1253.68,,K0 III-IV,13.4,5.91E+02,-24.97775,"<div><span class=supersubNumber"">1.036</span><span class=""superscript"">+0.147</span><span class=""subscript"">-0.150</span></div>""",1.33
GJ 9404 b,Radial Velocity,13.4586,,M2V,3.48,,,"<div><span class=supersubNumber"">-1.000</span> <span class=""superscript"">+0.380</span><span class=""subscript"">-0.398</span> </div>""",0.62
HD 100777 b,Radial Velocity,383,,G8 V,13.7,3.91E+02,1.24922,0.0212,1.08
HD 180314 b,Radial Velocity,394.73,,K0,12,,-73.18936,"<div><span class=supersubNumber"">1.64</span><span class=""superscript"">+0.07</span><span class=""subscript"">-0.08</span></div>""",2.6
nu Oph b,Radial Velocity,529.93,,K0 III,12,7.06E+03,,"<div><span class=supersubNumber"">1.8948</span><span class=""superscript"">+0.1565</span><span class=""subscript"">-0.1532</span></div>""",2.61
TOI-1249 b,Transit,13.079151,726.89,,3.2710301,1.19E+01,,"<div><span class=supersubNumber"">-0.101</span><span class=""superscript"">+0.022</span><span class=""subscript"">-0.024</span></div>""",1.0062
NGC 2682 Sand 1429 b,Radial Velocity,77.48,683,F9.5 V,13.4,,,"<div><span class=supersubNumber"">0.7398929</span><span class=""superscript"">+0.0303111</span><span class=""subscript"">-0.0337961</span></div>""",1.26
nu Oph c,Radial Velocity,3180.6,,K0 III,12,7.84E+03,,"<div><span class=supersubNumber"">1.8948</span><span class=""superscript"">+0.1565</span><span class=""subscript"">-0.1532</span></div>""",2.61
HD 5608 b,Radial Velocity,768.7,,K0 IV,13.7,,-22.79725,"<div><span class=supersubNumber"">1.155</span><span class=""superscript"">+0.109</span><span class=""subscript"">-0.113</span></div>""",1.29
75 Cet b,Radial Velocity,696.62,,G3 III,13.3,,-6.21279,"<div><span class=supersubNumber"">1.714</span><span class=""superscript"">+0.012</span><span class=""subscript"">-0.021</span></div>""",1.92
HD 28254 b,Radial Velocity,1333,,G5 V,13,1.21E+03,-9.315,0.34,1.1
omi UMa b,Radial Velocity,1569.81,,G4 II-III,13,,,"<div><span class=supersubNumber"">2.0627</span><span class=""superscript"">+0.0710</span><span class=""subscript"">-0.0718</span></div>""",2.72
TOI-6330 b,Transit,6.8500246,495,,10.89,3.18E+03,,"<div><span class=supersubNumber"">-1.432</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.011</span></div>""",0.531
Teegarden's Star b,Radial Velocity,4.90634,277,M7.0 V,1.05,,,"<div><span class=supersubNumber"">-3.14</span><span class=""superscript"">+0.00</span><span class=""subscript"">-0.00</span></div>""",0.097
V1298 Tau e,Transit,53.5,492,K1,9.97599282,3.21E+02,16.15,"<div><span class=supersubNumber"">0.03902</span><span class=""superscript"">+0.01941</span><span class=""subscript"">-0.02032</span></div>""",1.26
Teegarden's Star c,Radial Velocity,11.416,209,M7.0 V,1.02,,,"<div><span class=supersubNumber"">-3.14</span><span class=""superscript"">+0.00</span><span class=""subscript"">-0.00</span></div>""",0.097
HD 140901 c,Radial Velocity,14386,,G7 IV,13.4,5.72E+02,-6.9,"<div><span class=supersubNumber"">-0.102</span><span class=""superscript"">+0.005</span><span class=""subscript"">-0.006</span></div>""",1.06
