pl_name,discoverymethod,pl_orbper,pl_eqt,st_spectype,pl_rade,pl_masse,st_radv,st_lumstr,st_mass
TOI-1680 b,Transit,4.8026345,404,M4.5+/-0.5,1.466,,-34.3,"<div><span class=supersubNumber"">-2.36</span><span class=""superscript"">+0.06</span><span class=""subscript"">-0.06</span></div>""",0.1798
WASP-84 b,Transit,8.52349648,732,K0,10.72,2.20E+02,-11.57814,"<div><span class=supersubNumber"">-0.32500398</span><span class=""superscript"">+0.00290807</span><span class=""subscript"">-0.00292768</span></div>""",0.853
Kepler-801 b,Transit,11.41928253,419,,2,,,-0.7981502,0.67
Kepler-750 c,Transit,4.08899022,1537,,1.62,,,0.3437067,1.15
TOI-2018 b,Transit,7.435583,576.34,K V,2.268,9.20E+00,,"<div><span class=supersubNumber"">-1.00</span><span class=""superscript"">+0.04</span><span class=""subscript"">-0.05</span></div>""",0.57
TOI-1634 c,Radial Velocity,103,,M2,,,,"<div><span class=supersubNumber"">-1.58</span><span class=""superscript"">+0.05</span><span class=""subscript"">-0.05</span></div>""",0.451
Kepler-117 b,Transit,18.7959228,984,F8 V,8.059,2.99E+01,-12.951,0.5377604,1.129
Kepler-1724 b,Transit,6.45442009,999,,2.83677238,,,0.05536648,1.016
GJ 180 d,Radial Velocity,106.3,,M3,2.66,,-15.06954,-1.9,0.43
Kepler-139 f,Transit Timing Variations,355,,,6.67,3.60E+01,,"<div><span class=supersubNumber"">0.015982245</span><span class=""superscript"">+0.011281107</span><span class=""subscript"">-0.017711308</span></div>""",1.078
Kepler-34 b,Transit,288.822,,,8.564,6.99E+01,,"<div><span class=supersubNumber"">0.173</span> <span class=""superscript"">+0.036</span><span class=""subscript"">-0.040</span> </div>""",1.0479
MOA-2011-BLG-291L b,Microlensing,,,,4.43,1.80E+01,,,0.15
OGLE-2019-BLG-0468L b,Microlensing,,,G,13.1,1.09E+03,,,0.92
OGLE-2019-BLG-0960L b,Microlensing,,,,1.39,2.50E+00,,,0.5
KMT-2024-BLG-0404L c,Microlensing,,,M,4.33,1.73E+01,,,0.09
OGLE-2017-BLG-1375L b,Microlensing,,,,12.4,3.59E+03,,,0.81
Kepler-126 c,Transit,21.869741,790,,1.58,,-20.73818,"<div><span class=supersubNumber"">0.4519982</span><span class=""superscript"">+0.0167763</span><span class=""subscript"">-0.0192201</span></div>""",1.108
TOI-1052 b,Transit,9.139703,1135,,2.87,1.69E+01,54.94602,"<div><span class=supersubNumber"">0.3837263</span><span class=""superscript"">+0.0196610</span><span class=""subscript"">-0.0143643</span></div>""",1.204
Kepler-1455 b,Transit,49.276764,298,,2.16,,,"<div><span class=supersubNumber"">-1.14066</span><span class=""superscript"">+0.08828</span><span class=""subscript"">-0.11093</span></div>""",0.62
Kepler-998 b,Transit,5.65377733,1020,,2.32,,,0.1928965,1.12
WASP-84 c,Transit,1.4468849,1329,K0,1.95,1.52E+01,-11.57814,"<div><span class=supersubNumber"">-0.32500398</span><span class=""superscript"">+0.00290807</span><span class=""subscript"">-0.00292768</span></div>""",0.853
eps CrB b,Radial Velocity,417.9,,K2 III,12.7,,-30.92,"<div><span class=supersubNumber"">2.2352080</span><span class=""superscript"">+0.0074244</span><span class=""subscript"">-0.0075535</span></div>""",1.7
GJ 685 b,Radial Velocity,24.16,,M0.5,2.95,,-15.71757,-1.253&plusmn;0.094,0.55
TOI-4010 c,Transit,5.414654,907,K V,5.93,2.03E+01,,"<div><span class=supersubNumber"">-0.3996049</span><span class=""superscript"">+0.0281905</span><span class=""subscript"">-0.0148203</span></div>""",0.88
K2-3 c,Transit,24.646729,371.8,M V,1.582,2.68E+00,30.48024,"<div><span class=supersubNumber"">-1.23</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.549
K2-3 d,Transit,44.55603,305.2,M V,1.458,2.20E+00,30.48024,"<div><span class=supersubNumber"">-1.23</span><span class=""superscript"">+0.01</span><span class=""subscript"">-0.01</span></div>""",0.549
Kepler-733 b,Transit,20.83424726,595,,2.82,,,-0.2978499,0.9
KMT-2017-BLG-1057L b,Microlensing,,,,5.19,2.35E+01,,,0.57
OGLE-2019-BLG-0362L b,Microlensing,,,,13.1,1.04E+03,,,0.42
Kepler-1451 b,Transit,35.622233,523,,3.35,,,-0.1193846,1
Kepler-108 c,Transit,190.323494,426,,8.18,,,0.707,1.247
KMT-2019-BLG-1339L b,Microlensing,,,,13.7,3.97E+02,,,0.48
Kepler-397 b,Transit,22.250949,539,,2.46,,,-0.376,0.844
OGLE-2003-BLG-235L b,Microlensing,,,K V,13.2,8.30E+02,,,0.63
OGLE-2012-BLG-0358L b,Microlensing,,,,13.4,5.88E+02,,,0.022
OGLE-2015-BLG-1609L b,Microlensing,,,,10.4,7.63E+01,,,0.17
KMT-2021-BLG-1077L c,Microlensing,,,M V,10.6,7.95E+01,,,0.14
TOI-5344 b,Transit,3.792622,689,,10.60369574,1.31E+02,46.78,"<div><span class=supersubNumber"">-1.21</span><span class=""superscript"">+0.03</span><span class=""subscript"">-0.04</span></div>""",0.612
HD 11964 b,Radial Velocity,1945,,G9 V CN+1,14.1,,-9.31811,"<div><span class=supersubNumber"">0.45904582</span><span class=""superscript"">+0.00695935</span><span class=""subscript"">-0.01135361</span></div>""",0.91
HD 132406 b,Radial Velocity,908,,G0 V,12.8,1.89E+03,-37.79668,"<div><span class=supersubNumber"">0.25996041</span><span class=""superscript"">+0.01008076</span><span class=""subscript"">-0.01335768</span></div>""",0.973
HD 28471 c,Radial Velocity,6.1245,1066,G5 V,2.26,,,"<div><span class=supersubNumber"">0.061674847</span><span class=""superscript"">+0.010486013</span><span class=""subscript"">-0.011908757</span></div>""",0.98
TOI-1801 b,Transit,10.64387,493.7,M0.5+/-0.5 V,2.079,5.74E+00,,"<div><span class=supersubNumber"">-1.230</span><span class=""superscript"">+0.010</span><span class=""subscript"">-0.010</span></div>""",0.556
Kepler-52 d,Transit,36.445171,332,M0 V,1.95,8.89E+01,,"<div><span class=supersubNumber"">-0.996</span><span class=""superscript"">+0.049</span><span class=""subscript"">-0.055</span></div>""",0.577
TOI-1853 b,Transit,1.2436258,1479,K2.5 V,3.46,7.32E+01,,"<div><span class=supersubNumber"">-0.4323</span><span class=""superscript"">+0.0108</span><span class=""subscript"">-0.0111</span></div>""",0.837
LHS 475 b,Transit,2.029088,586,M3.5 V,0.991,,-10.3,"<div><span class=supersubNumber"">-2.06</span><span class=""superscript"">+0.02</span><span class=""subscript"">-0.02</span></div>""",0.262
Kepler-756 b,Transit,1.224866322,1741,,1.12,,,-0.358,0.82
EPIC 229004835 b,Transit,16.141132,804,,2.332,1.04E+01,,"<div><span class=supersubNumber"">0.029892862</span><span class=""superscript"">+0.017419863</span><span class=""subscript"">-0.010385841</span></div>""",0.97
Kepler-1286 b,Transit,11.25402929,888,,2.15,,,0.1282202,1
OGLE-2019-BLG-1492L b,Microlensing,,,,6.79,3.71E+01,,,0.68
